,eventType,eventTypeGroup,eventClass, Events , fatalities , injuries , PropDamage , CropDamage 
415,AGRICULTURAL FREEZE,COLD WEATHER,WNTR STORM COLD,6, -   , -   , -   ,"28,820,000"
422,BITTER WIND CHILL,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
423,BITTER WIND CHILL TEMPERATURES,COLD WEATHER,WNTR STORM COLD,3, -   , -   , -   , -   
160,COLD,COLD WEATHER,WNTR STORM COLD,72,35,48,"500,000", -   
246,Cold,COLD WEATHER,WNTR STORM COLD,10,3, -   ,"54,000", -   
445,COLD AIR FUNNEL,COLD WEATHER,WNTR STORM COLD,4, -   , -   , -   , -   
446,COLD AIR FUNNELS,COLD WEATHER,WNTR STORM COLD,2, -   , -   , -   , -   
400,COLD AIR TORNADO,COLD WEATHER,WNTR STORM COLD,1, -   , -   ,50,50
447,COLD AND FROST,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
459,Cold and Frost,COLD WEATHER,WNTR STORM COLD,6, -   , -   , -   , -   
448,COLD AND SNOW,COLD WEATHER,WNTR STORM COLD,1,14, -   , -   , -   
449,COLD AND WET CONDITIONS,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   ,"66,000,000"
458,Cold Temperature,COLD WEATHER,WNTR STORM COLD,2,2, -   , -   , -   
450,COLD TEMPERATURES,COLD WEATHER,WNTR STORM COLD,4, -   , -   , -   , -   
451,COLD WAVE,COLD WEATHER,WNTR STORM COLD,3,3, -   , -   , -   
452,COLD WEATHER,COLD WEATHER,WNTR STORM COLD,4,5, -   , -   , -   
453,COLD WIND CHILL TEMPERATURES,COLD WEATHER,WNTR STORM COLD,6, -   , -   , -   , -   
111,COLD/WIND CHILL,COLD WEATHER,WNTR STORM COLD,539,95,12,"1,990,000","600,000"
454,COLD/WINDS,COLD WEATHER,WNTR STORM COLD,1,1, -   , -   , -   
80,DAMAGING FREEZE,COLD WEATHER,WNTR STORM COLD,6, -   , -   ,"8,000,000","262,100,000"
482,Damaging Freeze,COLD WEATHER,WNTR STORM COLD,2, -   , -   , -   ,"34,130,000"
484,EARLY FREEZE,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
485,EARLY FROST,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
501,Early Frost,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   ,"42,000,000"
503,Excessive Cold,COLD WEATHER,WNTR STORM COLD,2, -   , -   , -   , -   
217,Extended Cold,COLD WEATHER,WNTR STORM COLD,1,1, -   ,"100,000", -   
48,EXTREME COLD,COLD WEATHER,WNTR STORM COLD,655,160,231,"67,737,400","1,292,973,000"
504,Extreme Cold,COLD WEATHER,WNTR STORM COLD,2,2, -   , -   ,"20,000,000"
77,EXTREME COLD/WIND CHILL,COLD WEATHER,WNTR STORM COLD,"1,002",125,24,"8,648,000","50,000"
251,EXTREME WIND CHILL,COLD WEATHER,WNTR STORM COLD,6, -   , -   ,"50,000", -   
496,EXTREME WIND CHILL/BLOWING SNO,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
497,EXTREME WIND CHILLS,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
141,EXTREME WINDCHILL,COLD WEATHER,WNTR STORM COLD,204,17,5,"755,000","17,000,000"
498,EXTREME WINDCHILL TEMPERATURES,COLD WEATHER,WNTR STORM COLD,19, -   , -   , -   , -   
499,EXTREME/RECORD COLD,COLD WEATHER,WNTR STORM COLD,4, -   , -   , -   , -   
197,FREEZE,COLD WEATHER,WNTR STORM COLD,74,1, -   ,"205,000","446,225,000"
530,Freeze,COLD WEATHER,WNTR STORM COLD,2, -   , -   , -   ,"10,500,000"
233,FREEZING DRIZZLE,COLD WEATHER,WNTR STORM COLD,20,2,15,"75,000", -   
244,Freezing Drizzle,COLD WEATHER,WNTR STORM COLD,3, -   , -   ,"55,000", -   
307,Freezing drizzle,COLD WEATHER,WNTR STORM COLD,1, -   , -   ,"15,000", -   
517,FREEZING DRIZZLE AND FREEZING,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
109,FREEZING FOG,COLD WEATHER,WNTR STORM COLD,45, -   , -   ,"2,182,000", -   
531,Freezing Fog,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
78,FREEZING RAIN,COLD WEATHER,WNTR STORM COLD,250,7,23,"8,111,500", -   
280,Freezing Rain,COLD WEATHER,WNTR STORM COLD,7, -   , -   ,"35,000", -   
533,Freezing rain,COLD WEATHER,WNTR STORM COLD,3, -   , -   , -   , -   
518,FREEZING RAIN AND SLEET,COLD WEATHER,WNTR STORM COLD,6, -   , -   , -   , -   
519,FREEZING RAIN AND SNOW,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
520,FREEZING RAIN SLEET AND,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
521,FREEZING RAIN SLEET AND LIGHT,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
253,FREEZING RAIN/SLEET,COLD WEATHER,WNTR STORM COLD,9, -   , -   ,"50,000", -   
234,FREEZING RAIN/SNOW,COLD WEATHER,WNTR STORM COLD,4,1, -   ,"75,000", -   
532,Freezing Spray,COLD WEATHER,WNTR STORM COLD,1,1, -   , -   , -   
306,FROST,COLD WEATHER,WNTR STORM COLD,53,1,3,"15,000","66,000,000"
534,Frost,COLD WEATHER,WNTR STORM COLD,4, -   , -   , -   , -   
72,FROST/FREEZE,COLD WEATHER,WNTR STORM COLD,"1,342", -   , -   ,"9,480,000","1,094,086,000"
132,Frost/Freeze,COLD WEATHER,WNTR STORM COLD,1, -   , -   ,"1,000,000","100,000"
164,FROST\FREEZE,COLD WEATHER,WNTR STORM COLD,1, -   , -   ,"500,000", -   
561,HARD FREEZE,COLD WEATHER,WNTR STORM COLD,7, -   , -   , -   ,"13,100,000"
653,LATE FREEZE,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
204,LATE SEASON SNOW,COLD WEATHER,WNTR STORM COLD,1, -   , -   ,"180,000", -   
670,Late Season Snowfall,COLD WEATHER,WNTR STORM COLD,2, -   , -   , -   , -   
655,LATE SNOW,COLD WEATHER,WNTR STORM COLD,2, -   , -   , -   , -   
671,Late-season Snowfall,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
667,LOW TEMPERATURE,COLD WEATHER,WNTR STORM COLD,7,7, -   , -   , -   
668,LOW TEMPERATURE RECORD,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
669,LOW WIND CHILL,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
713,RECORD  COLD,COLD WEATHER,WNTR STORM COLD,1, -   , -   , -   , -   
51,RECORD COLD,COLD WEATHER,WNTR STORM COLD,64,1, -   ,"56,000,000", -   
744,Record Cold,COLD WEATHER,WNTR STORM COLD,3, -   , -   , -   , -   
